"unique_key","created_date","closed_date","complaint_type","descriptor","borough","incident_zip","status","latitude","longitude"
"70027941","2026-08-12T02:06:17.000",,"Noise - Residential","Banging/Pounding","Unspecified",,"Unspecified",,
"70026445","2026-08-12T02:06:16.000",,"Noise - Vehicle","Engine Idling","BRONX","10454","In Progress","40.81066575374958","-73.9264866628028"
"70032610","2026-08-12T02:05:38.000",,"Noise - Street/Sidewalk","Loud Music/Party","BROOKLYN","11203","In Progress","40.646559020206276","-73.9452402470506"
"70033308","2026-08-12T02:03:32.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11421","In Progress","40.69030512225126","-73.85825092282"
"70037864","2026-08-12T02:03:24.000",,"Illegal Parking","Blocked Crosswalk","QUEENS","11358","In Progress","40.755831450797075","-73.8027275970779"
"70030314","2026-08-12T02:02:20.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11421","In Progress","40.6895117889807","-73.86041974885909"
"70030404","2026-08-12T02:02:00.000",,"Noise - Street/Sidewalk","Loud Talking","QUEENS","11358","In Progress","40.76282672371461","-73.8053095892388"
"70026838","2026-08-12T02:01:22.000",,"Noise - Vehicle","Car/Truck Music","BROOKLYN","11212","In Progress","40.65845040304478","-73.915193025378"
"70033307","2026-08-12T02:01:11.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11421","In Progress","40.689656081013716","-73.85944946047425"
"70029436","2026-08-12T02:00:03.000",,"Water Maintenance","Fire Hydrant Running Full","BRONX","10453","In Progress",,
"70031810","2026-08-12T02:00:00.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11421","In Progress","40.68971055745062","-73.85910678513072"
"70031784","2026-08-12T01:58:58.000",,"Noise - Street/Sidewalk","Loud Music/Party","BRONX","10456","In Progress","40.83509422338308","-73.9080294101681"
"70028824","2026-08-12T01:58:50.000",,"Illegal Parking","Blocked Crosswalk","QUEENS","11421","In Progress","40.68988499527376","-73.85810757957361"
"70030403","2026-08-12T01:58:35.000",,"Illegal Parking","Parking Permit Improper Use","QUEENS","11355","In Progress","40.75138907986774","-73.8168637188478"
"70028898","2026-08-12T01:58:29.000",,"Illegal Parking","Blocked Hydrant","QUEENS","11358","In Progress","40.755831450797075","-73.8027275970779"
